date,specific_region,general_region,trigger,depth_ft,width_ft,url,lat,lon,elevation_ft,slope_angle_deg,vertical_ft,aspect
4/29/2017,Avalanche: Superior,Salt Lake,Skier,2.0,150,https://utahavalanchecenter.org/avalanche/32961,40.59407613873,-111.65495394384,10000,40,-999,South
4/28/2017,Avalanche: Flagstaff Ridge,Salt Lake,Skier,0.08,-999,https://utahavalanchecenter.org/avalanche/32950,40.599312572213,-111.64109362874,9800,34,-999,North
4/28/2017,Avalanche: Little Superior,Salt Lake,Skier,1.0,60,https://utahavalanchecenter.org/avalanche/32951,40.592023872556,-111.65991066608,10000,-999,Unknown,Southeast
4/27/2017,Avalanche: Flagstaff Ridge,Salt Lake,Skier,0.67,60,https://utahavalanchecenter.org/avalanche/32924,40.594665762171,-111.64143561039,9300,33,70,Southeast
4/27/2017,Avalanche: Cardiff Bowl,Salt Lake,Skier,0.67,30,https://utahavalanchecenter.org/avalanche/32926,40.595152019388,-111.65229319249,10200,36,300,Southeast
4/27/2017,Avalanche: Honeycomb,Salt Lake,Skier,0.83,30,https://utahavalanchecenter.org/avalanche/32931,40.606733347719,-111.60644496487,9700,35,300,Northwest
4/25/2017,Avalanche: Stupid Chute,Salt Lake,Skier,1.0,300,https://utahavalanchecenter.org/avalanche/32888,40.588563404853,-111.60139559423,10200,42,400,Northwest
4/11/2017,Avalanche: Snowbird Ski Resort,Salt Lake,Hiker,0.83,100,https://utahavalanchecenter.org/avalanche/32584,40.558715504713,-111.66535662302,10100,38,200,Northeast
4/10/2017,Avalanche: Mineral Basin,Salt Lake,Natural,0.58,100,https://utahavalanchecenter.org/avalanche/32555,40.556561654872,-111.62895093325,9500,Unknown,250,Southeast
3/28/2017,Avalanche: No Name Baldy,Salt Lake,Skier,1.0,100,https://utahavalanchecenter.org/avalanche/32041,40.524845329544,-111.71433402813,10300,35,70,Northeast
3/28/2017,Avalanche: Claytons,Salt Lake,Skier,0.67,70,https://utahavalanchecenter.org/avalanche/32046,40.591894792302,-111.5604543558,10500,Unknown,300,East
3/24/2017,Avalanche: Lake Peak,Salt Lake,Skier,0.5,100,https://utahavalanchecenter.org/avalanche/31908,40.542251339125,-111.68403981837,10600,45,600,Northeast
3/8/2017,Avalanche: Cardiac Bowl,Salt Lake,Skier,1.33,250,https://utahavalanchecenter.org/avalanche/31356,40.593881671426,-111.66311858806,10200,40,350,Northeast
3/4/2017,Avalanche: Hogum,Salt Lake,Skier,-999.0,-999,https://utahavalanchecenter.org/avalanche/31228,40.545226783484,-111.72729848537,10000,40,600,East
3/3/2017,Avalanche: Y-Not Couloir,Salt Lake,Natural,-999.0,-999,https://utahavalanchecenter.org/avalanche/31179,40.562199205596,-111.74331663759,Unknown,Unknown,Unknown,Northeast
2/24/2017,Avalanche: Hogum,Salt Lake,Natural,3.0,150,https://utahavalanchecenter.org/avalanche/31015,40.54925412994,-111.72514198934,10200,40,500,East
2/22/2017,Avalanche: Mary Lake Ridge,Salt Lake,Snowboarder,3.0,150,https://utahavalanchecenter.org/avalanche/30866,40.593576218412,-111.58944696206,9300,45,250,North
