date,specific_region,general_region,trigger,depth_ft,width_ft,url,lat,lon,elevation_ft,slope_angle_deg,vertical_ft,aspect
12/28/2010,Accident: Red Pine Gulch,Salt Lake,Skier,-999.0,-999,https://utahavalanchecenter.org/avalanche/17583,40.53546,-111.695423,10500,-999,Unknown,North
3/27/2011,Accident: Silver Fork,Salt Lake,Skier,0.83,70,https://utahavalanchecenter.org/avalanche/17873,40.604765,-111.628261,9800,38,150,East
4/27/2011,Accident: Twin Lakes Pass,Salt Lake,Unknown,1.5,150,https://utahavalanchecenter.org/avalanche/17934,40.593914,-111.607919,10000,38,200,Northeast
4/20/2011,Avalanche: Alta Periphery,Salt Lake,Natural,-999.0,-999,https://utahavalanchecenter.org/avalanche/17918,40.57979,-111.598392,10200,-999,Unknown,East
3/22/2011,Avalanche: Alta Periphery,Salt Lake,Skier,0.83,200,https://utahavalanchecenter.org/avalanche/17849,40.585278,-111.606159,10400,38,600,Northeast
12/23/2010,Avalanche: Big Horn Peak,Salt Lake,Unknown,-999.0,-999,https://utahavalanchecenter.org/avalanche/17550,40.519411,-111.745634,10000,40,Unknown,West
4/22/2011,Avalanche: Brighton Perimeter,Salt Lake,Skier,-999.0,-999,https://utahavalanchecenter.org/avalanche/17923,40.579542,-111.595345,10000,-999,Unknown,North
3/29/2011,Avalanche: Brighton Perimeter,Salt Lake,Skier,1.33,60,https://utahavalanchecenter.org/avalanche/17881,40.592839,-111.599808,10300,40,600,West
1/24/2011,Avalanche: Brighton Perimeter,Salt Lake,Skier,1.5,70,https://utahavalanchecenter.org/avalanche/17670,40.582703,-111.569467,10200,-999,800,East
12/19/2010,Avalanche: Brighton Perimeter,Salt Lake,Skier,1.0,600,https://utahavalanchecenter.org/avalanche/17518,40.591926,-111.599121,10000,35,800,North
12/7/2010,Avalanche: Brighton Perimeter,Salt Lake,Skier,0.83,40,https://utahavalanchecenter.org/avalanche/17499,40.583453,-111.578522,10300,35,200,North
11/28/2010,Avalanche: Cardiff Fork,Salt Lake,Natural,0.25,20,https://utahavalanchecenter.org/avalanche/17491,40.594924,-111.660662,8300,38,Unknown,North
11/29/2010,Avalanche: Catherines,Salt Lake,Unknown,0.67,80,https://utahavalanchecenter.org/avalanche/17497,40.581139,-111.596632,10200,38,300,North
2/20/2011,Avalanche: Claytons,Salt Lake,Skier,1.25,70,https://utahavalanchecenter.org/avalanche/17722,40.594696,-111.559682,10000,42,200,Northeast
3/26/2011,Avalanche: Coalpit 4,Salt Lake,Natural,-999.0,-999,https://utahavalanchecenter.org/avalanche/17865,40.561286,-111.75014,8000,38,500,North
12/31/2010,Avalanche: Davenport Hill,Salt Lake,Skier,0.42,30,https://utahavalanchecenter.org/avalanche/17585,40.595739,-111.610923,Unknown,37,40,Southwest
11/28/2010,Avalanche: Davenport Hill,Salt Lake,Skier,0.67,35,https://utahavalanchecenter.org/avalanche/17490,40.600138,-111.62045,10100,36,450,North
11/21/2010,Avalanche: Davenport Hill,Salt Lake,Skier,0.83,80,https://utahavalanchecenter.org/avalanche/17477,40.600138,-111.622124,9800,42,200,North
4/26/2011,Avalanche: Days Fork,Salt Lake,Skier,-999.0,-999,https://utahavalanchecenter.org/avalanche/17931,40.600106,-111.643324,10200,38,Unknown,North
4/22/2011,Avalanche: Days Fork,Salt Lake,Skier,0.83,150,https://utahavalanchecenter.org/avalanche/17926,40.600725,-111.634312,10200,Unknown,600,North
3/20/2011,Avalanche: Days Headwall,Salt Lake,Unknown,-999.0,-999,https://utahavalanchecenter.org/avalanche/17847,40.59978,-111.637874,10100,-999,Unknown,North
11/20/2010,Avalanche: Days Headwall,Salt Lake,Skier,1.5,100,https://utahavalanchecenter.org/avalanche/17471,40.599486,-111.639376,10500,-999,700,North
12/29/2010,Avalanche: Dog Lake Chutes,Salt Lake,Natural,1.5,125,https://utahavalanchecenter.org/avalanche/17570,40.585474,-111.58792,9700,-999,300,Northeast
12/27/2010,Avalanche: Dromedary Peak,Salt Lake,Skier,0.83,60,https://utahavalanchecenter.org/avalanche/17564,40.593425,-111.704736,10500,36,100,Northeast
11/15/2010,Avalanche: Dry Fork,Salt Lake,Skier,1.17,100,https://utahavalanchecenter.org/avalanche/17464,40.57713,-111.598434,10300,-999,150,Southwest
2/19/2011,Avalanche: East Bowl,Salt Lake,Skier,1.0,400,https://utahavalanchecenter.org/avalanche/17719,40.600712,-111.616824,10000,-999,300,Northwest
12/19/2010,Avalanche: East Hellgate,Salt Lake,Natural,-999.0,-999,https://utahavalanchecenter.org/avalanche/17521,40.591926,-111.64856,9600,-999,Unknown,Northeast
5/20/2011,Avalanche: Emma Ridges,Salt Lake,Skier,0.67,50,https://utahavalanchecenter.org/avalanche/17943,40.597226,-111.636908,9800,Unknown,Unknown,South
4/6/2011,Avalanche: Emma Ridges,Salt Lake,Skier,0.33,100,https://utahavalanchecenter.org/avalanche/17892,40.598509,-111.632423,10000,35,500,Southeast
12/19/2010,Avalanche: Emma Ridges,Salt Lake,Skier,1.0,60,https://utahavalanchecenter.org/avalanche/17519,40.59525,-111.634569,Unknown,41,150,South
2/28/2011,Avalanche: Figure 8 Hill,Salt Lake,Skier,0.5,250,https://utahavalanchecenter.org/avalanche/17763,40.593205,-111.603541,9600,35,Unknown,Northeast
12/31/2010,Avalanche: Figure 8 Hill,Salt Lake,Skier,0.5,35,https://utahavalanchecenter.org/avalanche/17588,40.591861,-111.604614,9900,Unknown,80,Northeast
12/30/2010,Avalanche: Flagstaff Gully,Salt Lake,Skier,0.83,50,https://utahavalanchecenter.org/avalanche/17579,40.590981,-111.643023,8900,40,50,Southeast
4/21/2011,Avalanche: Flagstaff Ridge,Salt Lake,Snowboarder,0.67,100,https://utahavalanchecenter.org/avalanche/17919,40.595837,-111.639805,9600,36,300,Southeast
5/17/2011,Avalanche: Grizzly Gulch,Salt Lake,Skier,0.75,15,https://utahavalanchecenter.org/avalanche/17941,40.592448,-111.611094,10000,Unknown,30,Northwest
12/10/2010,Avalanche: Hellgate,Salt Lake,Unknown,0.67,40,https://utahavalanchecenter.org/avalanche/17503,40.589808,-111.654868,8000,34,200,South
12/22/2010,Avalanche: Hidden Canyon,Salt Lake,Snowboarder,-999.0,-999,https://utahavalanchecenter.org/avalanche/17535,40.598053,-111.562042,10000,35,Unknown,North
12/22/2010,Avalanche: Hidden Canyon,Salt Lake,Snowboarder,-999.0,-999,https://utahavalanchecenter.org/avalanche/17535,40.598053,-111.562042,10000,35,Unknown,North
11/21/2010,Avalanche: Hidden Canyon,Salt Lake,Skier,1.5,60,https://utahavalanchecenter.org/avalanche/17479,40.594305,-111.564016,9400,36,125,Northeast
11/18/2010,Avalanche: Hidden Canyon,Salt Lake,Skier,0.83,70,https://utahavalanchecenter.org/avalanche/17469,40.593947,-111.562643,10000,33,Unknown,Northeast
3/20/2011,Avalanche: Hide A Way Park,Salt Lake,Skier,1.0,50,https://utahavalanchecenter.org/avalanche/17846,40.602736,-111.631866,10000,36,200,North
3/7/2011,Avalanche: Highway to Heaven,Salt Lake,Skier,0.83,50,https://utahavalanchecenter.org/avalanche/17789,40.591014,-111.610451,Unknown,Unknown,70,Northeast
3/25/2011,Avalanche: Hogum,Salt Lake,Natural,1.5,125,https://utahavalanchecenter.org/avalanche/17862,40.560243,-111.721258,8200,-999,Unknown,Northeast
4/19/2011,Avalanche: Honeycomb,Salt Lake,Skier,1.0,60,https://utahavalanchecenter.org/avalanche/17915,40.599682,-111.612554,10200,40,500,North
11/21/2010,Avalanche: Honeycomb,Salt Lake,Natural,5.0,-999,https://utahavalanchecenter.org/avalanche/17484,40.600399,-111.611652,9700,-999,Unknown,North
1/14/2011,Avalanche: Lackawaxen,Salt Lake,Snowboarder,0.5,80,https://utahavalanchecenter.org/avalanche/17622,40.591666,-111.559854,10400,40,150,East
11/22/2010,Avalanche: Lackawaxen,Salt Lake,Skier,5.0,700,https://utahavalanchecenter.org/avalanche/17483,40.592187,-111.559896,10500,39,600,Northeast
3/9/2011,Avalanche: lake Peak,Salt Lake,Skier,1.33,125,https://utahavalanchecenter.org/avalanche/17799,40.542015,-111.683879,10700,42,700,Northeast
1/22/2011,Avalanche: lake Peak,Salt Lake,Natural,1.33,100,https://utahavalanchecenter.org/avalanche/17660,40.542472,-111.683407,10400,-999,400,Northeast
4/14/2011,Avalanche: Little Pine,Salt Lake,Unknown,-999.0,-999,https://utahavalanchecenter.org/avalanche/17909,40.582992,-111.700745,10400,40,2000,South
12/24/2010,Avalanche: Little Pine,Salt Lake,Natural,-999.0,-999,https://utahavalanchecenter.org/avalanche/17552,40.588988,-111.677218,Unknown,-999,Unknown,South
