date,specific_region,general_region,trigger,depth_ft,width_ft,url,lat,lon,elevation_ft,slope_angle_deg,vertical_ft,aspect
2/14/2014,Avalanche: Cardiac Bowl,Salt Lake,Natural,6.0,"1,000",https://utahavalanchecenter.org/avalanche/20500,40.595869,-111.666584,10500,-999,-999,East
2/14/2014,Avalanche: upper Days,Salt Lake,Natural,4.0,40,https://utahavalanchecenter.org/avalanche/20484,40.601083,-111.642423,10000,Unknown,400,Northeast
2/14/2014,Avalanche: Mill B South,Salt Lake,Natural,4.0,-999,https://utahavalanchecenter.org/avalanche/20748,40.590343,-111.696496,10800,-999,1750,Northwest
2/14/2014,Avalanche: Wolverine Cirque,Salt Lake,Natural,0.5,300,https://utahavalanchecenter.org/avalanche/20493,40.588537,-111.608262,10500,Unknown,600,Northeast
2/12/2014,Avalanche: Lake Mary,Salt Lake,Skier,3.0,35,https://utahavalanchecenter.org/avalanche/20436,40.587819,-111.592727,9600,42,50,East
2/11/2014,Avalanche: Toledo Chutes,Salt Lake,Skier,-999.0,80,https://utahavalanchecenter.org/avalanche/20387,40.597545,-111.647988,10200,-999,500,Southeast
2/11/2014,Avalanche: Lake Mary,Salt Lake,Snowboarder,4.0,60,https://utahavalanchecenter.org/avalanche/20391,40.587331,-111.592169,9600,Unknown,80,Northeast
2/10/2014,Avalanche: Grizzly Gulch,Salt Lake,Snowboarder,0.5,30,https://utahavalanchecenter.org/avalanche/20345,40.597271,-111.610923,10200,Unknown,40,Southwest
2/10/2014,Avalanche: Grizzly Gulch,Salt Lake,Skier,1.0,60,https://utahavalanchecenter.org/avalanche/20349,40.596427,-111.611754,10000,34,50,Southwest
2/8/2014,Avalanche: Snake Creek,Salt Lake,Skier,2.0,50,https://utahavalanchecenter.org/avalanche/20270,40.585311,-111.563413,10100,-999,-999,Southeast
2/6/2014,Avalanche: Monte Cristo,Salt Lake,Skier,0.83,40,https://utahavalanchecenter.org/avalanche/20220,40.594012,-111.671305,10700,37,150,Northeast
2/5/2014,Avalanche: White Pine,Salt Lake,Snowboarder,0.67,25,https://utahavalanchecenter.org/avalanche/20197,40.554113,-111.671069,9900,Unknown,Unknown,West
2/5/2014,Accident: Lake Peak,Salt Lake,Skier,-999.0,-999,https://utahavalanchecenter.org/avalanche/20208,40.54253,-111.683578,10600,-999,-999,North
2/5/2014,Avalanche: Lake Peak,Salt Lake,Skier,0.5,20,https://utahavalanchecenter.org/avalanche/20234,40.543399,-111.68679,10300,Unknown,200,Northeast
2/5/2014,Avalanche: Superior,Salt Lake,Skier,-999.0,-999,https://utahavalanchecenter.org/avalanche/20185,40.592415,-111.668472,10900,-999,-999,North
1/31/2014,Avalanche: Emma Ridges,Salt Lake,Skier,0.83,30,https://utahavalanchecenter.org/avalanche/20097,40.597054,-111.627038,9700,36,350,South
1/31/2014,Avalanche: Snake Creek,Salt Lake,Snowmobiler,0.83,100,https://utahavalanchecenter.org/avalanche/20111,40.575357,-111.579576,Unknown,39,100,Southeast
1/12/2014,Avalanche: Catherines,Salt Lake,Unknown,2.0,200,https://utahavalanchecenter.org/avalanche/20046,40.579965,-111.591954,10100,-999,250,Northwest
1/10/2014,Avalanche: Tuscarora,Salt Lake,Natural,-999.0,-999,https://utahavalanchecenter.org/avalanche/19663,40.584503,-111.598278,10600,-999,-999,East
1/10/2014,Avalanche: Tuscarora,Salt Lake,Natural,2.0,100,https://utahavalanchecenter.org/avalanche/19687,40.584341,-111.597905,10300,-999,-999,East
12/25/2013,Avalanche: Hide A Way Park,Salt Lake,Skier,1.5,50,https://utahavalanchecenter.org/avalanche/19342,40.602581,-111.633067,10000,Unknown,600,Northwest
12/24/2013,Avalanche: Dry Fork,Salt Lake,Snowmobiler,3.0,300,https://utahavalanchecenter.org/avalanche/19315,40.568829,-111.601932,10400,-999,-999,East
12/24/2013,Avalanche: Snake Creek,Salt Lake,Natural,-999.0,200,https://utahavalanchecenter.org/avalanche/19330,40.571458,-111.588993,10000,Unknown,1000,Northeast
